Zyklusnummer;Dämpfung;Dämpfung 2;Weg (Amplitude);Weg (Maximum);Weg (Mittelwert);Weg (Minimum);Weg (Spitze-Spitze);Weg in % (Amplitude);Weg in % (Maximum);Weg in % (Mittelwert);Weg in % (Minimum);Weg in % (Spitze-Spitze);Dynamische Steifigkeit;Dynamische Steifigkeit 2;Verlustarbeit;Verlustarbeit 2;Speicherarbeit;Speicherarbeit 2;Kraft (Amplitude);Kraft (Maximum);Kraft (Mittelwert);Kraft (Minimum);Kraft (Spitze-Spitze);Frequenz;Verlustwinkel;Verlustwinkel 2;Verlustfaktor;Verlustfaktor 2;Überwundenes Delta;Überwundene Steifigkeit;Dehnung (Amplitude);Dehnung (Maximum);Dehnung (Mittelwert);Dehnung (Minimum);Dehnung (Spitze-Spitze);Dehnung in % (Amplitude);Dehnung in % (Maximum);Dehnung in % (Mittelwert);Dehnung in % (Minimum);Dehnung in % (Spitze-Spitze);Spannung (Amplitude);Spannung (Maximum);Spannung (Mittelwert);Spannung (Minimum);Spannung (Spitze-Spitze);Temperatur
;;;mm;mm;mm;mm;mm;%;%;%;%;%;kN/mm;kN/mm;Nm;Nm;Nm;Nm;kN;kN;kN;kN;kN;Hz;°;°;;;;;mm;mm;mm;mm;mm;%;%;%;%;%;N/mm²;N/mm²;N/mm²;N/mm²;N/mm²;°C
390.000000000;0.157678703;-nan(ind);1.655308558;0.926975626;-0.728332932;-2.383641490;3.310617117;1.655308558;0.926975626;-0.728332932;-2.383641490;3.310617117;1.903512265;nan;0.841863598;0.000000000;5.339107841;0.000000000;3.150900143;2.198640969;-0.952259174;-4.103159317;6.301800286;6.000000000;2.945046420;-nan(ind);0.051446072;-nan(ind);3.268198373;1786084.931303068;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;315.090014283;219.864096906;-95.225917377;-410.315931659;630.180028565;0.000000000
410.000000000;0.159597744;-nan(ind);1.648851014;0.923647511;-0.725203504;-2.374054518;3.297702028;1.648851014;0.923647511;-0.725203504;-2.374054518;3.297702028;1.899188596;nan;0.845007272;0.000000000;5.294606617;0.000000000;3.131479043;2.172669784;-0.958809258;-4.090288301;6.262958086;6.000000000;2.986062543;-nan(ind);0.052163860;-nan(ind);3.288445099;1785722.799604666;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.147904284;217.266978443;-95.880925841;-409.028830125;626.295808568;0.000000000
430.000000000;0.159877076;-nan(ind);1.651500921;0.925521507;-0.725979415;-2.377480336;3.303001843;1.651500921;0.925521507;-0.725979415;-2.377480336;3.303001843;1.901409755;nan;0.849631312;0.000000000;5.314278518;0.000000000;3.140179962;2.175398912;-0.964781050;-4.104961012;6.280359925;6.000000000;2.989282460;-nan(ind);0.052220211;-nan(ind);3.291594586;1787320.512019106;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;314.017996234;217.539891249;-96.478104985;-410.496101219;628.035992468;0.000000000
450.000000000;0.160602413;-nan(ind);1.652322221;0.927057768;-0.725264453;-2.377586674;3.304644441;1.652322221;0.927057768;-0.725264453;-2.377586674;3.304644441;1.903665809;nan;0.854450213;0.000000000;5.320282543;0.000000000;3.145469317;2.190998679;-0.954470638;-4.099939955;6.290938634;6.000000000;2.999699456;-nan(ind);0.052402519;-nan(ind);3.319642902;1787090.104354918;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;314.546931681;219.099867853;-95.447063828;-409.993995509;629.093863362;0.000000000
470.000000000;0.160342378;-nan(ind);1.654805104;0.928516237;-0.726288867;-2.381093971;3.309610207;1.654805104;0.928516237;-0.726288867;-2.381093971;3.309610207;1.908024059;nan;0.855709154;0.000000000;5.336762260;0.000000000;3.157407951;2.199416108;-0.957991843;-4.115399794;6.314815902;6.000000000;2.988259410;-nan(ind);0.052202307;-nan(ind);3.309187518;1788015.810216130;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;315.740795122;219.941610806;-95.799184316;-411.539979438;631.481590244;0.000000000
490.000000000;0.161200569;-nan(ind);1.650852027;0.922782478;-0.728069550;-2.378921577;3.301704054;1.650852027;0.922782478;-0.728069550;-2.378921577;3.301704054;1.902686961;nan;0.857027095;0.000000000;5.316526483;0.000000000;3.141054627;2.187000687;-0.954053939;-4.095108566;6.282109253;6.000000000;3.015672762;-nan(ind);0.052682076;-nan(ind);3.326122350;1785953.260385159;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;314.105462651;218.700068732;-95.405393919;-409.510856570;628.210925303;0.000000000
510.000000000;0.159625907;-nan(ind);1.650780129;0.924401190;-0.726378940;-2.377159069;3.301560259;1.650780129;0.924401190;-0.726378940;-2.377159069;3.301560259;1.899817038;nan;0.847038340;0.000000000;5.306396405;0.000000000;3.136180215;2.178616706;-0.957563510;-4.093743725;6.272360431;6.000000000;2.985259561;-nan(ind);0.052149807;-nan(ind);3.298401034;1785274.703119569;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.618021538;217.861670570;-95.756350968;-409.374372506;627.236043076;0.000000000
530.000000000;0.160075557;-nan(ind);1.652752947;0.926430566;-0.726322382;-2.379075329;3.305505895;1.652752947;0.926430566;-0.726322382;-2.379075329;3.305505895;1.899030197;nan;0.851981212;0.000000000;5.322369173;0.000000000;3.138627755;2.183267602;-0.955360152;-4.093987907;6.277255509;6.000000000;2.996767550;-nan(ind);0.052351208;-nan(ind);3.297862033;1785665.694239417;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.862775455;218.326760245;-95.536015210;-409.398790665;627.725550910;0.000000000
550.000000000;0.160021436;-nan(ind);1.652629817;0.927380641;-0.725249176;-2.377878994;3.305259634;1.652629817;0.927380641;-0.725249176;-2.377878994;3.305259634;1.895586383;nan;0.850862888;0.000000000;5.317180670;0.000000000;3.132702577;2.184302127;-0.948400450;-4.081103027;6.265405155;6.000000000;2.998719763;-nan(ind);0.052385374;-nan(ind);3.302413192;1782513.084579498;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.270257737;218.430212750;-94.840044987;-408.110302724;626.540515474;0.000000000
570.000000000;0.157148650;-nan(ind);1.653327715;0.926991239;-0.726336476;-2.379664191;3.306655431;1.653327715;0.926991239;-0.726336476;-2.379664191;3.306655431;1.896540221;nan;0.836819504;0.000000000;5.325018732;0.000000000;3.135602510;2.186033326;-0.949569184;-4.085171694;6.271205021;6.000000000;2.945207371;-nan(ind);0.051448889;-nan(ind);3.253517715;1784808.522053226;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.560251027;218.603332626;-94.956918401;-408.517169428;627.120502055;0.000000000
